Name,Pos,Org,Top 100,Org Rk,Age,TJ Date,FB Type,FB,SL,CB,CH,CMD,RPM FB,RPM Break,Sits,Tops,FV,playerId
"Daiveyon Whittle","MIRP","TBR",,58,"21.5666666",,"Rise","40 / 45","45 / 50","","","40 / 50",2050,2350,"89-92","94","35+","sa3007617"
"Jayden Murray","MIRP","TBR",,59,"24.15",,"Rise","45 / 55","","50 / 60","","35 / 45",2600,2700,"90-94","96","35+","sa1170405"
"Aneudy Cortorreal","SIRP","TBR",,60,"21.4777777",,"Rise","65 / 70","40 / 50","40 / 45","40 / 45","30 / 40",2250,2100,"93-97","99","35+","sa3009242"
"Angel Felipe","SIRP","TBR",,61,"23.7638888",,"Rise","55 / 60","45 / 50","","45 / 55","20 / 35",2400,2450,"93-96","98","35+","sa881181"
"Luis Mey","SIRP","CIN",,25,"19.9472222",,"Rise","55 / 60","","40 / 45","35 / 45","30 / 45",2050,2250,"95-97","98","35+","sa3010130"
"Jacob Heatherly","MIRP","CIN",,26,"23.0416666",,"Tail","45 / 50","","45 / 50","50 / 55","30 / 40",1800,1950,"90-94","95","35+","sa3004736"
"Brandon Bailey","SIRP","CIN",,28,"26.6277777","2/26/21","Rise","50 / 50","45 / 50","55 / 55","60 / 60","40 / 40",2550,2600,"89-93","94","35+","19582"
"Hector Perez","SIRP","CIN",,29,"24.9972222",,"Cut/Rise","60 / 60","50 / 55","","","20 / 30",2350,2350,"91-95","96","35+","18592"
"Eduardo Salazar","MIRP","CIN",,30,"23.0833333",,"Rise","55 / 55","40 / 45","","40 / 45","45 / 55",2350,,"94-96","99","35+","sa3003131"
"Miguel Medrano","SIRP","CIN",,32,"23.4194444",,"Rise","40 / 45","","45 / 50","55 / 60","45 / 60",2200,2500,"89-92","93","35+","sa947763"
"Cristopher Sanchez","MIRP","PHI",,28,"24.4805555",,"Sink","50 / 55","45 / 45","45 / 45","50 / 55","40 / 45",2250,2200,"89-94","95","35+","20778"
"Noah Davis","SP","CIN",,33,"24.1194444","3/1/18","Tail","45 / 50","50 / 55","50 / 55","35 / 40","40 / 50",2400,2600,"91-93","94","35+","sa3010556"
"Dominic Pipkin","SP","PHI",,29,"21.5833333",,"Sink","50 / 60","40 / 45","40 / 45","45 / 55","35 / 50",2100,2000,"90-95","98","35+","sa3007896"
"Mauricio Llovera","SIRP","PHI",,30,"25.1333333",,"Tail","50 / 50","","45 / 45","","40 / 40",2000,2400,"93-95","96","35+","20080"
"Joe Boyle","SIRP","CIN",,35,"21.8083333",,"Tail","80 / 80","50 / 55","","","20 / 30",2550,2500,"98-101","102","35+","sa3014498"
"Julian Garcia","MIRP","PHI",,31,"26.0611111",,"Rise","55 / 55","","55 / 55","50 / 50","50 / 50",2700,2800,"87-90","91","35+","sa918182"
"Kyle Dohy","SIRP","PHI",,32,"24.7166666",,"Tail","50 / 50","40 / 40","","60 / 60","30 / 30",2400,2450,"90-93","96","35+","sa3004861"
"Octavio Becerra","SP","LAD",,40,"20.3388888",,"Sink","40 / 50","45 / 55","45 / 50","45 / 60","30 / 45",,,"90-93","94","35+","sa3008303"
"Mitch White","SIRP","LAD",,41,"26.4361111","11/1/13","Sink","55 / 55","50 / 50","55 / 55","","40 / 40",2300,2450,"93-95","97","35+","19225"
"Ramon Rosso","MIRP","PHI",,36,"24.9888888",,"Cut","","50 / 50","","","40 / 40",2600,2550,"94-96","97","35+","20368"
"Juan Morillo","SIRP","LAD",,43,"22.2111111",,"Rise","50 / 55","50 / 55","","30 / 40","30 / 45",2300,2550,"92-94","96","35+","sa917772"
"Osvanni Gutierrez","SP","LAD",,44,"20.0305555",,"Tail","35 / 50","","30 / 45","50 / 70","20 / 45",,,"90-92","93","35+","sa3009730"
"Victor Santos","SP","PHI",,38,"20.8972222",,"Tail","35 / 35","45 / 50","","","35 / 60",2150,2350,"87-91","92","35+","sa3003083"
"Kyle Hurt","SP","LAD",,45,"23.0138888",,"Tail/Rise","45 / 50","40 / 45","","50 / 55","30 / 50",2100,2300,"91-94","95","35+",
"Hsin-Chieh Lin","SP","PHI",,39,"22.2138888",,"Rise","40 / 45","40 / 50","","40 / 50","35 / 50",2450,2450,"89-92","94","35+","sa3008535"
"Hyun-il Choi","MIRP","LAD",,46,"21.0222222",,"Sink","40 / 45","","35 / 45","","35 / 55",2300,2150,"88-92","94","35+","sa3009992"
"Nicoly Pina","SP","PHI",,40,"21.6583333",,"Rise","55 / 60","45 / 55","","","30 / 40",2300,2350,"93-96","97","35+","sa3005875"
"Andrew Schultz","SIRP","PHI",,41,"23.8472222",,"Tail","70 / 70","45 / 50","","35 / 40","30 / 35",2450,,"96-99","100","35+","sa3010782"
"Jose Martinez","SIRP","LAD",,48,"22.1166666",,"Sink","45 / 50","40 / 45","","55 / 60","40 / 50",2250,2400,"91-95","97","35+","sa3002796"
"Gus Varland","SIRP","LAD",,50,"24.5805555","8/1/19",,"50 / 55","50 / 55","45 / 50","","40 / 45",2450,2350,"92-94","95","35+","sa3007779"
"Guillermo Zuniga","SIRP","LAD",,51,"22.6527777",,"Tail","55 / 60","55 / 60","","40 / 45","30 / 40",2350,2450,"91-96","97","35+","sa945024"
"Junior Mieses","SIRP","ARI",,38,"21.6388888",,"Cut/Rise","45 / 55","45 / 50","","","30 / 45",2450,2300,"90-93","95","35+","sa3005258"
"Bobby Ay","SIRP","ARI",,40,"24.0194444",,"Tail","40 / 50","50 / 60","40 / 45","","40 / 50",2150,2800,"90-92","93","35+","sa3011535"
"West Tunnell","SIRP","ARI",,41,"27.5416666",,"Cut/Rise","60 / 60","50 / 55","","","35 / 40",2500,2600,"93-96","97","35+","sa3002749"
"Matt Mercer","SIRP","ARI",,42,"24.7611111",,"Rise","45 / 55","40 / 40","45 / 45","55 / 55","40 / 40",2150,2450,"88-93","96","35+","sa3007837"
"Avery Short","SP","ARI",,43,"20.225",,"Rise","30 / 40","45 / 50","45 / 50","30 / 45","25 / 60",,,"88-92","93","35+","sa3011712"
"Edinson Soto","SIRP","ARI",,44,"24.7166666",,"Cut/Rise","50 / 55","45 / 55","50 / 55","","",2400,2800,"92-95","96","35+","sa3009831"
"Daniel Robert","SIRP","TEX",,48,"26.7638888",,,"50 / 50","70 / 70","","","45 / 45",,,"94-95","96","35+","sa3009856"
"Luis Castillo","SIRP","ARI",,45,"26.2361111",,"Tail","45 / 45","50 / 50","","55 / 55","50 / 50",,,"90-92","94","35+","sa657838"
"Jake Latz","SP","TEX",,50,"25.1583333",,,"45 / 45","","55 / 55","40 / 45","45 / 50",,,"89-93","94","35+","sa829008"
"Cam Hill","SIRP","CLE",,42,"27.0305555",,"Rise","50 / 50","55 / 55","50 / 50","","40 / 40",2300,2750,"91-94","95","35+","16840"
"Fernery Ozuna","SIRP","TEX",,51,"25.5722222",,,"55 / 60","45 / 50","","45 / 50","40 / 40",,,"94-97","100","35+","sa739259"
"Eli Morgan","MIRP","CLE",,43,"25.0611111",,"Rise","45 / 45","45 / 50","45 / 45","60 / 70","50 / 55",2400,2500,"87-90","92","35+","20203"
"Xzavion Curry","SP","CLE",,44,"22.8555555",,"Rise","45 / 50","45 / 50","50 / 50","40 / 45","35 / 55",,,"89-94",,"35+","sa3014790"
"Robert Broom","SIRP","CLE",,43,"24.7166666",,"Sink/Tail","40 / 40","55 / 55","","","50 / 55",2100,,"87-90","92","35+","sa3007235"
"Dylan MacLean","SP","TEX",,54,"18.8972222",,"Rise","30 / 50","","45 / 55","30 / 45","25 / 50",,,"88-90","91","35+","sa3014508"
"Scott Moss","MIRP","CLE",,45,"26.6638888",,"Rise","55 / 55","50 / 50","","50 / 50","35 / 40",2400,2400,"89-93","95","35+","sa738902"
"Jean Carlos Mejia","SP","CLE",,46,"24.775",,"Sink","50 / 50","50 / 55","","45 / 50","50 / 50",2150,,"90-94","95","35+","20617"
"Adam Scott","SIRP","CLE",,48,"25.6527777",,"Tail","50 / 55","55 / 60","","40 / 45","45 / 55",2250,,"90-93","95","35+","sa3006826"
"Scott Engler","SIRP","TEX",,59,"24.4805555","9/7/16",,"45 / 45","","","","40 / 40",,,"93-94","95","35+","sa918353"
"Hever Bueno","SIRP","TEX",,61,"26.5333333","6/10/16",,"60 / 60","50 / 55","","","30 / 35",2300,2600,"92-97","99","35+","sa738180"
"Kelvin Bautista","SIRP","TEX",,62,"21.9111111",,,"60 / 60","","50 / 55","","20 / 30",,,"94-97","98","35+","sa3006491"
"Kelvin Gonzalez","SIRP","TEX",,63,"23.4472222",,,"60 / 60","","55 / 55","50 / 50","40 / 40",2450,,"94-96","98","35+","sa920544"
"Jordan Holloway","SIRP","MIA",,37,"24.9777777","6/19/17",,"60 / 60","45 / 50","","","35 / 40",2250,2500,"94-96","98","35+","20631"
"Po-Yu Chen","SP","PIT",,43,"19.675",,,"40 / 50","40 / 45","45 / 50","40 / 50","25 / 55",,,"91-92","93","35+","sa3014699"
"Paul Campbell","MIRP","MIA",,38,"25.8583333",,,"40 / 40","45 / 45","55 / 55","","55 / 55",,,"91-93","95","35+","22248"
"Braxton Ashcraft","SIRP","PIT",,44,"21.6666666",,"Tail","35 / 45","50 / 55","45 / 50","40 / 45","40 / 50",2250,2400,"88-93","95","35+","sa3008470"
"Will Stewart","MIRP","MIA",,39,"23.8916666",,"Tail","40 / 40","45 / 50","45 / 50","45 / 50","50 / 55",2000,2650,"87-89","91","35+","sa875247"
"Yerry De Los Santos","SIRP","PIT",,46,"23.4805555",,"Tail","55 / 60","50 / 55","","","35 / 40",2250,2400,"93-96","98","35+","sa873562"
"Darius Vines","SP","ATL",,26,"23.0972222",,"Cut/Rise","45 / 50","","45 / 50","55 / 60","35 / 50",2350,,"88-92","94","35+","sa918848"
"Wilkin Ramos","SP","PIT",,49,"20.5972222",,"Cut","45 / 60","","40 / 45","45 / 55","35 / 45",2150,2200,"89-93","95","35+","sa3006487"
"Jared Johnson","SP","ATL",,27,"20.2222222",,"Sink","55 / 60","45 / 55","","","30 / 50",1850,,"94-97","99","35+","sa3011626"
"Andy Maldonado","SP","PIT",,50,"18.8722222",,"Tail","40 / 50","40 / 45","","45 / 55","35 / 50",2300,2000,"89-93","95","35+","sa3009607"
"Jorge Guzman","SIRP","MIA",,45,"25.3527777",,,"55 / 55","55 / 55","","45 / 50","30 / 35",2250,1900,"95-97","100","35+","17505"
"Nolan Kingham","SP","ATL",,30,"24.7972222",,"None","50 / 55","40 / 45","","40 / 45","45 / 55",2200,,"92-94","96","35+","sa3008224"
"Breidy Encarnacion","SP","MIA",,47,"20.5722222",,,"40 / 45","","45 / 50","40 / 50","40 / 50",2400,2250,"87-91","93","35+","sa3009205"
"Luis Palacios","SP","MIA",,48,"20.9277777",,,"30 / 40","45 / 50","","50 / 55","45 / 60",2150,2350,"85-87","89","35+","sa3003021"
"Sem Robberse","SP","TOR",,29,"19.6472222",,,"30 / 50","20 / 50","50 / 55","20 / 50","20 / 50",2400,2500,"88-81","93","35+","sa3011735"
"Patrick Murphy","SIRP","TOR",,30,"25.9861111",,"Sink","60 / 60","","50 / 50","","45 / 45",2100,2300,"93-97","99","35+","19712"
"Ben Bowden","SIRP","COL",,25,"26.6222222",,"Sink","45 / 45","45 / 45","","60 / 60","40 / 40",2450,2150,"92-95","96","35+","20198"
"T.J. Zeuch","SP","TOR",,31,"25.8444444",,"Sink","45 / 45","40 / 40","","45 / 45","45 / 55",2200,2250,"90-93","94","35+","19269"
"Will Ethridge","SP","COL",,26,"23.4583333",,"Tail","40 / 40","45 / 50","","50 / 50","35 / 60",2200,2150,"90-95","96","35+","sa3011337"
"Ashton Goudeau","SIRP","COL",,27,"28.8666666",,"Rise","50 / 50","50 / 50","55 / 55","40 / 45","55 / 55",2200,2400,"91-94","96","35+","15139"
"Nick Frasso","SP","TOR",,33,"22.6305555",,"Rise","45 / 55","","40 / 45","40 / 50","30 / 50",2350,2100,"91-93","95","35+","sa3014492"
"Antonio Santos","SIRP","COL",,28,"24.6638888",,"Rise","55 / 55","50 / 50","45 / 45","50 / 50","40 / 40",2200,2200,"92-95","97","35+","20383"
"Travis Bergen","SIRP","TOR",,34,"27.6583333",,,"55 / 55","","60 / 60","","35 / 35",2300,2900,"93-95","96","35+","18581"
"Riley Pint","SIRP","COL",,29,"23.5805555",,"None","70 / 70","70 / 70","","","20 / 30",2250,2750,"97-99","102","35+","sa917922"
"Hobie Harris","SIRP","TOR",,35,"27.95",,,"70 / 70","","45 / 45","","30 / 35",,,"96-98","101","35+","sa876068"
"Breiling Eusebio","SIRP","COL",,30,"24.6222222","4/18/18","Tail","45 / 50","","50 / 55","45 / 55","35 / 35",2200,2400,"89-94","96","35+","sa828552"
"Curtis Taylor","MIRP","TOR",,36,"25.8611111",,"Rise","45 / 55","55 / 55","","45 / 50","40 / 45",2350,2300,"93-97","98","35+","sa917970"
"Jordan Sheffield","SIRP","COL",,32,"26.0111111","4/11/13","Rise","60 / 60","","70 / 70","60 / 60","30 / 30",2600,3200,"95-97","99","35+","19682"
"Victor Lizarraga","SP","SDP",,27,"17.5138888",,,"35 / 50","","45 / 55","20 / 50","25 / 55",,,"88-91","92","35+",
"Roither Hernandez","SIRP","TOR",,38,"23.25",,"Rise","60 / 65","40 / 55","","30 / 40","30 / 35",2350,2450,"95-98","99","35+","sa3004333"
"Yoan Aybar","SIRP","COL",,33,"23.9222222",,,"60 / 60","50 / 55","","","30 / 35",2150,2450,"93-96","98","35+","sa829086"
"Zayad Salinas","SP/OF","SDP",,28,"18.3944444",,,"40 / 50","","45 / 50","40 / 50","20 / 50",,,"87-91","92","35+",
"Naswell Paulino","SIRP","TOR",,39,"21.1333333",,"Rise","40 / 55","","45 / 55","","30 / 40",2450,2550,"90-92","93","35+","sa3002998"
"Brayan Medina","SP","SDP",,30,"18.6638888",,,"45 / 55","","45 / 55","30 / 45","30 / 45",,,"91-92","94","35+","sa3014705"
"Jagger Haynes","SP","SDP",,31,"18.7083333",,,"40 / 50","40 / 50","","35 / 50","20 / 50",,,"88--92","94","35+",
"Chase Walter","SIRP","SDP",,32,"22.8583333",,,"55 / 55","50 / 55","","","30 / 40",,,"94-96","98","35+",
"Evan Miller","SIRP","SDP",,33,"26.025",,,"55 / 55","60 / 60","","","40 / 45",2250,2750,"92-95","97","35+","sa915725"
"Pedro Avila","SP","SDP",,34,"24.3916666",,,"50 / 50","","55 / 55","55 / 60","45 / 50",2200,2750,"91-95","96","35+","18864"
"Kevin Smith","SIRP","BAL",,35,"24.0611111",,"Tail","45 / 45","50 / 55","","45 / 50","45 / 50",2450,,"87-90","92","35+","sa3007710"
"Mason Fox","SIRP","SDP",,38,"24.4111111",,,"55 / 60","","55 / 55","","40 / 40",2450,2550,"90-94","95","35+","sa3007460"
"Blaine Knight","SIRP","BAL",,38,"24.9361111",,"Rise/Tail","45 / 50","50 / 50","55 / 60","40 / 45","40 / 45",2250,2950,"91-94","97","35+","sa3008532"
"Tyler Wells","SIRP","BAL",,39,"26.775",,"Rise","55 / 55","50 / 50","55 / 55","","55 / 55",,,"92-94","96","35+","20000"
"Brenan Hanifee","SP","BAL",,42,"23.0166666",,"Sink","55 / 60","45 / 50","","","45 / 50",2050,2100,"91-93","95","35+","sa917973"
"Mason Denaburg","SP","WSN",,15,"21.825",,,"55 / 60","","60 / 60","50 / 55","30 / 50",2300,2400,"92-95","98","35+","sa3010648"
"Jake Zebron","SP","BAL",,43,"21.3361111",,"Rise","40 / 45","","50 / 60","30 / 45","35 / 50",2100,2700,"88-92","94","35+","sa3007250"
"Ignacio Feliz","SP","BAL",,44,"21.6166666",,"Cut","40 / 45","","50 / 55","40 / 50","40 / 50",2350,2600,"86-90","92","35+","sa3002982"
"Felix Bautista","SIRP","BAL",,45,"25.9583333",,"Tail","65 / 65","","","","30 / 35",2450,,"93-98","100","35+","sa737480"
"Holden Powell","SIRP","WSN",,18,"21.7388888",,,"60 / 60","50 / 55","","","30 / 40",,,"94-97","99","35+",
"Zachary Brzykcy","SIRP","WSN",,19,"21.8972222",,"Rise/Tail","60 / 60","","55 / 60","","30 / 35",,,"94-98","99","35+",
"Reid Schaller","SIRP","WSN",,21,"24.175","1/1/16",,"45 / 55","50 / 55","","40 / 45","45 / 50",2450,2400,"91-94","96","35+","sa3008023"
"Todd Peterson","SP","WSN",,22,"23.3694444",,,"55 / 60","50 / 55","","","35 / 45",,,"93-95","96","35+",
"Keider Montero","SIRP","DET",,33,"20.9138888",,"Rise","45 / 50","","50 / 60","40 / 50","35 / 45",2300,3000,"93-95","96","35+","sa3002956"
"Franklin Perez","SP","DET",,34,"23.4972222",,"Rise","60 / 60","50 / 60","45 / 50","55 / 60","40 / 50",2050,2550,"87-90",,"35+","sa873722"
"Elvin Rodriguez","SP","DET",,35,"23.1805555",,"Rise/Tail","40 / 45","","50 / 50","50 / 55","40 / 50",2350,2400,"89-93","94","35+","sa873437"
"Beau Burrows","SP","DET",,36,"24.7138888",,"Rise","50 / 50","40 / 50","40 / 50","45 / 55","45 / 50",2600,2600,"88-91","95","35+","18873"
"Angel De Jesus","SIRP","DET",,39,"24.3111111",,"Tail","65 / 65","45 / 45","","","30 / 35",2300,2400,"91-95","96","35+","sa921876"
"Wladimir Pinto","SIRP","DET",,40,"23.3138888",,"Rise","60 / 60","45 / 50","","30 / 35","30 / 35",2450,2000,"94-97","98","35+","sa871482"
"Devin Sweet","MIRP","SEA",,29,"24.7472222",,,"45 / 45","","45 / 45","55 / 60","45 / 55",2250,2350,"90-93","95","35+","sa3008340"
"Elvis Alvarado","SIRP","SEA",,30,"22.2833333",,,"60 / 70","40 / 50","","","35 / 40",2550,2250,"92-95","98","35+","sa919291"
"Carlos Guzman","SIRP","DET",,42,"23.0527777",,"None","50 / 55","","40 / 45","50 / 60","35 / 50",2300,2150,"90-94","96","35+","sa871477"
"Kristian Cardozo","SP","SEA",,34,"18.5694444",,,"40 / 50","","45 / 50","40 / 50","30 / 50",,,"87-91","92","35+","sa3014706"
"Robert Dugger","MIRP","SEA",,35,"25.9222222",,,"30 / 30","50 / 50","55 / 55","45 / 45","50 / 55",2250,2500,"87-93","94","35+","19191"
"Will Vest","SIRP","SEA",,36,"25.9972222",,,"50 / 50","55 / 55","","40 / 40","45 / 45",2200,2350,"93-95","97","35+","19769"
"Ty Adcock","SIRP","SEA",,37,"24.3277777",,,"65 / 65","45 / 50","40 / 50","45 / 50","30 / 35",,,"94-97","100","35+","sa3014482"
"Luis Rijo","SP","MIN",,32,"22.7472222",,"None","40 / 40","","55 / 55","45 / 50","50 / 60",2050,2650,"90-94","96","35+","sa916950"
"Yennier Cano","SIRP","MIN",,34,"27.2388888",,"Sink","50 / 50","50 / 55","","","45 / 45",2150,2500,"92-95","97","35+","sa3011688"
"Jorge Rodriguez","SP","BOS",,37,"20.7777777",,"Rise","40 / 50","","45 / 50","45 / 55","35 / 55",2300,2900,"89-91","93","35+","sa3006074"
"Andrew Politi","SIRP","BOS",,40,"25.0027777",,"Rise","55 / 55","50 / 55","","45 / 50","30 / 40",2450,2500,"92-95","96","35+","sa3007243"
"Ryan Zeferjahn","SIRP","BOS",,41,"23.2638888",,"Rise","55 / 60","50 / 55","","40 / 45","30 / 45",2300,2250,"94-96","98","35+","sa3011217"
"Shane Drohan","SP","BOS",,42,"22.4111111",,"Rise","40 / 50","","55 / 60","40 / 45","30 / 40",2300,2650,"89-92","94","35+","sa3014447"
"Bradley Blalock","SP","BOS",,43,"20.4444444",,"Rise","40 / 55","40 / 50","30 / 45","30 / 40","30 / 45",,,"91-93","95","35+","sa3011809"
"Jose Alberto Rivera","SIRP","HOU",,25,"24.3083333",,,"70 / 70","","55 / 55","","30 / 35",2350,2300,"93-97","99","35+","sa3003090"
"Luis De La Rosa","SP","BOS",,45,"18.9138888",,"Rise","35 / 50","45 / 50","45 / 50","45 / 55","25 / 55",,,"88-90","92","35+","sa3009778"
"Tyler Brown","SIRP","HOU",,26,"22.675",,"Cut/Rise","50 / 55","","50 / 60","","30 / 40",,,"91-95","96","35+","sa3014450"
"Jairo Lopez","SP","HOU",,27,"20.5388888",,,"50 / 50","55 / 55","50 / 50","40 / 45","35 / 50",2200,2850,"91-94","95","35+","sa3005824"
"Chris Murphy","MIRP","BOS",,47,"23",,"Rise","50 / 55","40 / 40","45 / 50","50 / 55","35 / 40",2350,2200,"89-93","95","35+","sa3011431"
"Angel Macuare","SP","HOU",,28,"21.2555555",,"Rise","45 / 50","45 / 50","55 / 55","40 / 45","35 / 45",2250,2350,"89-91","94","35+","sa3003039"
"Manny Ramirez","SIRP","HOU",,29,"21.5388888",,,"55 / 60","","50 / 60","40 / 50","20 / 30",2450,2700,"92-95","97","35+","sa3004833"
"Luis Perales","SIRP","BOS",,49,"18.1416666",,"Rise","40 / 55","","45 / 55","30 / 45","20 / 40",,,,"95","35+","sa3014677"
"Brett Conine","SIRP","HOU",,30,"24.6361111",,"Rise","45 / 45","45 / 45","","55 / 60","45 / 50",2550,2300,"90-93","96","35+","sa3008024"
"Juan Pablo Lopez","SP","HOU",,31,"22.3",,,"40 / 40","","45 / 50","45 / 55","35 / 50",2300,2150,"90-93","94","35+","sa3004647"
"Jeremy Wu-Yelland","SIRP","BOS",,51,"21.9472222",,"Tail","50 / 55","50 / 55","","40 / 50","30 / 35",,,"90-93","96","35+","sa3014520"
"Julio Robaina","SP","HOU",,32,"20.2",,"Cut/Rise","40 / 45","","50 / 55","45 / 50","35 / 55",2200,2800,"89-92","94","35+","sa3006817"
"Diosmerky Taveras","SIRP","HOU",,33,"21.7",,,"60 / 65","45 / 50","","40 / 50","20 / 35",2150,2450,"94-97","98","35+","sa3004872"
"Yennsy Diaz","SIRP","NYM",,21,"24.5555555",,"Tail","55 / 60","","45 / 45","55 / 55","35 / 35",2400,2150,"93-96","98","35+","20218"
"Marcel Renteria","SIRP","NYM",,22,"26.6888888",,"Tail","50 / 55","","70 / 70","","30 / 35",,,"93-95","96","35+","sa3005016"
"Tylor Megill","SIRP","NYM",,23,"25.8527777",,"None","50 / 50","55 / 55","","","40 / 45",2100,,"90-93","95","35+","sa3007988"
"Joander Suarez","SP","NYM",,24,"21.2722222",,"Rise","45 / 50","50 / 55","","40 / 50","40 / 50",2350,,"91-94","95","35+","sa3008263"
"Trevor McDonald","SP","SFG",,34,"20.275",,"Tail","45 / 50","45 / 55","","40 / 55","30 / 50",2200,2350,"90-94","96","35+","sa3011835"
"Esmerlin Vinicio","SP","SFG",,36,"18.3472222",,,"20 / 50","","40 / 55","50 / 60","35 / 55",,,"83-85","86","35+","sa3014708"
"Michel Otanez","SIRP","NYM",,27,"23.9222222","10/1/16","Sink/Tail","55 / 60","45 / 50","","","30 / 40",2200,,"90-97","99","35+","sa932611"
"Raffi Vizcaino","SIRP","SFG",,38,"25.5083333",,"Rise/Tail","60 / 60","55 / 55","","50 / 50","30 / 30",2450,2700,"94-97","98","35+","sa736742"
"Cole Waites","SIRP","SFG",,41,"22.9861111",,"Cu/Rise","70 / 70","45 / 55","","","20 / 35",,,"96-99","100","35+","sa3011556"
"Dedniel Nunez","SIRP","SFG",,42,"25","3/20/21",,"60 / 60","60 / 60","","","35 / 40",2600,,"93-94","96","35+","sa3004203"
"Collin Snider","SIRP","KCR",,35,"25.6527777",,"Tail","55 / 55","50 / 55","","","50 / 60",,,"93-95","96","35+","sa3004093"